Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1962,6,292.100738525391,1.53810846805573,1.43980872631073,0,0,2.37757224519969,292.631252031059,1.14195411027865
1962,9,293.324737548828,1.31253671646118,1.49073684215546,0,0,2.38704104371512,293.770363927998,1.14789841973599
1962,12,293.652404785156,0.748095214366913,1.54605162143707,0,0,2.39511410289948,294.634486192947,1.15135349061702
1963,3,294.739593505859,1.32197558879852,1.68209636211395,0,0,2.41536652063469,295.744467208344,1.16595828459847
1963,6,295.855743408203,1.51128315925598,1.72524774074554,0,0,2.43484666858438,296.777693775441,1.17972341816228
1963,9,298.031433105469,1.5377414226532,2.13029646873474,0,0,2.45646762752752,298.164337876916,1.19649658076704
1963,12,298.682922363281,1.92390096187592,2.27353048324585,0,0,2.46487510411596,299.050923145797,1.20014337320056
1964,3,300.772003173828,1.69176089763641,2.17277717590332,0,0,2.48459686522529,300.449802088427,1.21533064899178
1964,6,301.854217529297,1.1847562789917,1.92562925815582,0,0,2.49029834624113,301.503418357185,1.21725577696793
1964,9,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.50023750074569,302.790309946129,1.22342801213494
1964,12,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.50427406195557,303.625344727232,1.22305453910687
1965,3,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.5226632048038,305.109308009354,1.23760442520515
1965,6,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.52274891886276,306.143025211707,1.23531353904318
1965,9,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.52690085694593,307.467225649156,1.23833776065419
1965,12,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.51879107460712,308.755554372354,1.23171769585861
1966,3,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.49994634775263,310.179754053634,1.21693746040089
1966,6,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.46644358035108,311.061473950424,1.18792386120451
1966,9,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.44517253342201,312.187545884031,1.17059183437235
1966,12,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.42156723037118,313.277472801362,1.15147399015742
1967,3,317.124298095703,2.19496369361877,2.3010470867157,0,0,2.39664721411606,314.406894789448,1.13151294130967
