Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1976,12,352.650207519531,36.9029521674131,2.07233762741089,0,1,0.281242714514734,350.570702401734,1.53148259072119
1977,3,352.239898681641,25.967759745402,-0.265385508537292,0,1,0.167758801331401,351.97345333188,1.47884747610948
1977,6,353.753997802734,20.8258533885018,-8.41198635101318,0,0,0.179654276306086,353.640919517667,1.54505000354275
1977,9,353.796783447266,17.7830614161769,-11.5530462265015,0,0,0.0938430354425677,355.086065719473,1.50770652842763
1977,12,355.984985351562,14.8176390571386,-13.9809074401855,0,0,0.126260955722726,356.75556748485,1.57624464171502
1978,3,356.773559570312,14.0900708488023,-13.0292663574219,0,0,0.108946914699283,358.268520248819,1.57798481435159
1978,6,359.089111328125,16.688066012775,-6.74808263778687,0,0,0.227428328426091,360.035571511254,1.69285901189983
1978,9,360.514801025391,16.8892150218378,-3.30357813835144,0,0,0.320846852348202,361.747016768231,1.76503545629909
1978,12,364.563293457031,13.7786412480353,-0.789283096790314,0,0,0.514241737464848,363.823494315042,1.93537795694702
1979,3,367.27001953125,17.3120913082611,0.279457569122314,0,0,0.579620411386698,365.859848082424,1.98544758221148
1979,6,369.148284912109,16.5370066645209,0.324362963438034,0,0,0.638265343394766,367.921424702339,2.02206751748584
1979,9,371.307891845703,16.1912205058841,0.28490224480629,0,0,0.69471663225161,370.043202102543,2.05681230770174
1979,12,373.819396972656,20.0364124134566,3.97505569458008,0,0,0.71159404098995,372.213465140181,2.05962640825882
1980,3,375.049865722656,25.829365501065,6.1660737991333,0,1,0.647244633651331,374.258387340392,1.98131331142224
1980,6,375.333251953125,22.6750578241984,3.75457382202148,0,0,0.56532012163738,376.133983669108,1.87595372650346
1980,9,377.642333984375,25.1012936931753,0.263380229473114,0,1,0.513989511723224,378.045308179009,1.80850737602523
1980,12,380.726287841797,22.5930069131199,1.39829778671265,0,0,0.356521553049847,379.772918459176,1.65706020022525
1981,3,383.781951904297,23.0180310346311,1.27151930332184,0,1,0.130595519757238,381.273101177134,1.45577249756671
1981,6,386.4921875,23.280302997133,0.360340237617493,0,1,-0.138635961104025,382.575915673822,1.22982468560755
1981,9,387.066162109375,21.6272900977743,1.62573182582855,0,0,-0.474949069481194,383.464928906108,0.945214156163737
1981,12,388.137359619141,27.4693208684221,1.68590998649597,0,1,-0.740383456148436,384.268136926764,0.741088748683038
1982,3,387.170104980469,31.1943278360963,3.449294090271,0,1,-1.0691887675638,384.665656822805,0.48062161603617
1982,6,387.255981445312,41.4018370151977,8.47124099731445,0,1,-1.30332530931706,385.011578769269,0.32186495588529
1982,9,386.687927246094,46.201882687075,12.3090076446533,0,1,-1.57758203394108,385.158621202884,0.13836419388203
1982,12,384.241027832031,46.4366329361472,0.795733630657196,0,1,-1.85776612031911,385.038842420323,-0.0517804465684459
1983,3,382.443817138672,46.9353571685349,-3.33980250358582,0,1,-2.05794847808786,384.879422905963,-0.16542216258182
1983,6,380.623321533203,42.5319629254542,-16.1050338745117,0,1,-2.25975903157152,384.511757856228,-0.28738306924628
1983,9,380.991241455078,40.0118360484749,-25.5007495880127,0,1,-2.367389792991,384.186168089532,-0.322789439282641
1983,12,382.328002929688,39.5911146290111,-26.2724781036377,0,1,-2.47145559935849,383.768545228927,-0.360238264323608
1984,3,385.071624755859,38.7812227546743,-23.1836490631104,0,1,-2.50976628739005,383.512157705482,-0.338706375702654
1984,6,383.8544921875,38.794539673238,-18.3949909210205,0,1,-2.60817530401937,382.898199198578,-0.408118389553345
1984,9,385.692443847656,35.7685777624469,-12.1982412338257,0,1,-2.45581612782851,382.751477661245,-0.248136181523256
1984,12,385.553527832031,35.9545365527586,-11.3257741928101,0,1,-2.4197684485067,382.454181062468,-0.206908986068676
1985,3,387.128784179688,37.2599354318898,-8.16350746154785,0,1,-2.28581668543183,382.489493106233,-0.0681453935508178
1985,6,386.566101074219,34.0129551556178,-3.51060748100281,0,1,-2.27390537384008,382.36768035487,-0.0482578499395666
1985,9,387.072906494141,37.2716029153566,0.552546322345734,0,1,-2.18317231169446,382.472192420355,0.0527794108671225
1985,12,386.866790771484,40.4386213781847,4.68566179275513,0,1,-2.16757668096077,382.605125040591,0.0926303235300719
1986,3,384.807678222656,42.4824301120702,6.34832096099854,0,1,-2.19374895647521,382.644722563591,0.0894207150876135
1986,6,383.554077148438,43.6751695230477,4.35945701599121,0,1,-2.16401535422947,382.836027491196,0.143743759502066
1986,9,381.936157226562,46.2299686498854,7.20468378067017,0,1,-2.19174982282711,382.960042257686,0.14597974785828
1986,12,381.280242919922,45.9291399461818,5.2524619102478,0,1,-2.19629841837551,383.120981955686,0.174997572304254
1987,3,382.286315917969,45.2977437989155,-2.57813692092896,0,1,-2.20429157055698,383.345958093314,0.218389689156084
1987,6,385.02197265625,47.8877703261385,-6.85534572601318,0,1,-2.25349961009708,383.685051433952,0.250357863654285
1987,9,385.831237792969,48.157268154392,-10.9026975631714,0,1,-2.41320863580501,383.806256417353,0.184117987564002
1987,12,386.683135986328,48.3606883939874,-12.2000427246094,0,1,-2.4937916098712,384.016097528015,0.193607294899404
1988,3,385.993072509766,49.2021436153943,-12.5913572311401,0,1,-2.57565696108383,384.137503810695,0.191800087097159
1988,6,385.662261962891,37.8724436320048,-42.5410766601562,0,1,-2.55344120682914,384.413150077901,0.277982555224372
1988,9,385.764068603516,24.1274677750426,-50.4388885498047,0,1,-2.50138960124443,384.760743254282,0.377455468601862
1988,12,387.284576416016,13.0631192987494,-44.2116317749023,0,1,-2.37661467465176,385.278415731303,0.525517455492449
1989,3,389.142883300781,8.97315198081441,-33.7046165466309,0,1,-2.19550916622131,386.013115506058,0.701682942924785
1989,6,389.014007568359,19.6168824466354,-15.8755855560303,0,1,-1.97990274287565,386.786469507983,0.868245412363662
1989,9,390.891906738281,19.4475874852047,5.8759970664978,0,1,-1.60043375480381,388.095362180354,1.1686949269658
1989,12,389.815399169922,18.4366257101074,14.0463609695435,0,1,-1.32715088328201,389.336736363192,1.3419965893952
1990,3,392.379486083984,24.5001542325678,14.4865627288818,0,1,-0.919390056237084,391.200623734589,1.65535965736868
1990,6,394.332458496094,23.7942492787598,12.7512855529785,0,1,-0.756337568951349,393.066396657559,1.75877553454482
1990,9,395.819732666016,25.5138470317165,11.4166851043701,0,1,-0.700220320204406,394.940984705315,1.77354512433143
1990,12,396.779724121094,22.6790658148874,9.71197128295898,0,0,-0.738048433161596,396.727261496516,1.70802676454157
1991,3,397.207489013672,18.4849849529062,0.263672173023224,0,0,-0.837036455889384,398.347697969039,1.58841443043395
1991,6,398.293975830078,16.996647211509,-0.996864199638367,0,0,-0.945825846238842,399.880259404645,1.46465499634543
1991,9,398.801239013672,15.0844343677373,-1.62048363685608,0,0,-1.09666334376865,401.142777294228,1.29613832212844
1991,12,400.5703125,18.615927350643,1.81241655349731,0,0,-1.17803452048694,402.425401856642,1.19381451912886
1992,3,400.538513183594,13.8192023885248,0.282240778207779,0,0,-1.32208647283747,403.374490410633,1.0194059965564
1992,6,401.90869140625,12.2096450406664,0.957988977432251,0,0,-1.35466858796205,404.365145946907,0.948138041576018
1992,9,403.336273193359,11.3450934292032,4.65080451965332,0,0,-1.42052011469777,405.25256584743,0.847798280481361
1992,12,403.306701660156,12.3337375468797,7.22447824478149,0,0,-1.50176410651001,405.919447657302,0.723283948291076
1993,3,404.413024902344,7.42198052691884,4.56137800216675,0,0,-1.50192242356693,406.657975845752,0.678084804340976
1993,6,404.416900634766,6.59142982027327,8.42910194396973,0,0,-1.55855945255003,407.180892347152,0.578522223655856
1993,9,405.574493408203,9.72557365224433,8.91642475128174,0,0,-1.54429066839827,407.777473790053,0.552922997093315
1993,12,406.202850341797,10.3550256473792,9.31884956359863,0,0,-1.58011172481136,408.250901113934,0.487005581608201
1994,3,407.199584960938,2.99022391911066,5.42767524719238,0,0,-1.60319718660888,408.662385110398,0.443786266536918
1994,6,409.455291748047,3.02524600910432,9.2070484161377,0,0,-1.61105674415929,409.148279312757,0.439471874566919
1994,9,410.001770019531,9.5535754298383,10.3076171875,0,0,-1.68290045440584,409.46088284584,0.387448285175928
1994,12,411.073913574219,12.2900372857995,11.6298494338989,0,0,-1.67842162683649,410.031417147538,0.424278977520469
1995,3,406.395263671875,28.5763787703159,11.8982801437378,0,1,-1.80350856495731,410.237790178484,0.311227359763849
1995,6,400.13525390625,42.7844668307835,8.41082763671875,0,1,-1.72644521055829,410.341968566714,0.340231229192241
1995,9,402.25732421875,29.6982255547324,4.1716570854187,0,1,-1.37909483087258,411.193827714129,0.641662270563531
1995,12,404.519989013672,28.4825194050103,10.577787399292,0,1,-1.28936177399147,411.910630033369,0.71218277287666
1996,3,406.813049316406,26.622151392809,1.4878636598587,0,1,-1.18305760506766,412.751741609897,0.794054936583017
1996,6,407.880798339844,22.7040248025861,1.07985234260559,0,0,-1.0974801006756,413.581607662383,0.843180244700307
1996,9,409.352600097656,21.9532281156772,2.65719318389893,0,0,-0.959864361987492,414.502118729283,0.929428034174731
1996,12,412.473175048828,21.7804626708522,4.96949005126953,0,0,-0.794673128769074,415.686859823659,1.04488085953383
1997,3,412.818542480469,19.5429118920564,1.65484642982483,0,0,-0.752250981263691,416.639687133392,1.02773088625012
1997,6,415.174194335938,12.4069107741089,1.60338413715363,0,0,-0.593626010523097,417.844419060924,1.11892610704153
1997,9,417.223724365234,15.6926205927269,2.16159796714783,0,0,-0.517780691478858,418.986380529678,1.1349237713176
1997,12,420.004699707031,14.0901365407183,3.32971668243408,0,0,-0.434039764532472,420.227983784839,1.16514021394587
1998,3,421.542144775391,13.7991884216035,3.53233194351196,0,0,-0.418484520843927,421.37855170611,1.13235240021493
1998,6,422.239440917969,13.7299383505139,3.66834688186646,0,0,-0.393985285253752,422.495220374865,1.10421225262912
1998,9,422.738555908203,16.5785486716565,4.77443408966064,0,0,-0.356053858956685,423.618092400772,1.08629665416062
1998,12,422.916870117188,18.7404274505824,3.4189760684967,0,0,-0.33146790708861,424.687110106896,1.05123441638799
