Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign,lw_decomp_r,lw_decomp_g_pos,lw_decomp_g_neg,lw_decomp_z_pos,lw_decomp_z_neg,int_decomp_r,int_decomp_gh_pos,int_decomp_gh_neg,int_decomp_gf_pos,int_decomp_gf_neg,int_decomp_z_pos,int_decomp_z_neg
1965,12,252.610733032227,14.1598535067163,-0.190533548593521,0,0,2.11633476980666,253.815467560817,1.27920747656638,252.610733032227,14.1598535067163,-0.190533548593521,0,0,2.34204765095955,253.94080730348,1.2159170946335,0.289831831036974,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.75026682811243,308.438287454121,1.23068879859076,2.11633476980666,1.27920747656638,0,0.837127293240284,0,2.34204765095955,1.2159170946335,0,0.289831831036974,0,0.836298725289075,0
1966,3,253.76123046875,13.6993832275489,-0.778876304626465,0,0,2.15073153910185,254.980667054461,1.28578403771113,253.76123046875,13.6993832275489,-0.778876304626465,0,0,2.36003688710213,255.138414270737,1.21871314504003,0.28630910445982,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.73025815326958,309.749276109654,1.21573053771413,2.15073153910185,1.28578403771113,0,0.864947501390716,0,2.36003688710213,1.21871314504003,0,0.28630910445982,0,0.855014637602288,0
1966,6,257.622009277344,12.5100088154417,-1.44304084777832,0,0,2.19072100723833,256.248074866693,1.30534012093365,257.622009277344,12.5100088154417,-1.44304084777832,0,0,2.38101173232846,256.414003602375,1.2312213474952,0.279529111802131,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.69569491140139,310.72590763832,1.18694121878912,2.19072100723833,1.30534012093365,0,0.885380886304679,0,2.38101173232846,1.2312213474952,0,0.279529111802131,0,0.870261273031134,0
1966,9,258.395629882812,11.7756371840128,-2.10993242263794,0,0,2.18145296508697,257.412776871576,1.27592612631655,258.395629882812,11.7756371840128,-2.10993242263794,0,0,2.37043165368576,257.611065896785,1.21046830056668,0.275314277822991,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.67299649246896,311.852990332916,1.16904411981455,2.18145296508697,1.27592612631655,0,0.905526838770418,0,2.37043165368576,1.21046830056668,0,0.275314277822991,0,0.884649075296085,0
1966,12,257.715209960938,11.4526891398736,-2.23213696479797,0,0,2.20776337256545,258.550969518808,1.2607864911841,257.715209960938,11.4526891398736,-2.23213696479797,0,0,2.37451465438077,258.782400665438,1.19655792443604,0.270453668901159,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.64673470100529,312.938399559633,1.14840492041045,2.20776337256545,1.2607864911841,0,0.946976881381351,0,2.37451465438077,1.19655792443604,0,0.270453668901159,0,0.90750306104357,0
1967,3,257.959381103516,10.4628542525013,-1.62713170051575,0,0,2.27261196451089,259.72144201081,1.26804408960381,257.959381103516,10.4628542525013,-1.62713170051575,0,0,2.39871166792745,259.974914549991,1.19692512841102,0.265355032209599,317.124298095703,2.19496369361877,2.3010470867157,0,0,2.6187146218139,314.039524308709,1.12675500348471,2.27261196451089,1.26804408960381,0,1.00456787490708,0,2.39871166792745,1.19692512841102,0,0.265355032209599,0,0.936431507306832,0
1967,6,258.718414306641,5.39995463650904,-1.06897485256195,0,0,2.34826018736134,260.891310144786,1.2764992709071,258.718414306641,5.39995463650904,-1.06897485256195,0,0,2.424910399748,261.161117945207,1.19717378762199,0.259503487426413,317.185882568359,2.66898798942566,1.04130709171295,0,0,2.58832107810454,314.942575464751,1.10190807554945,2.34826018736134,1.2764992709071,0,1.07176091645424,0,2.424910399748,1.19717378762199,0,0.259503487426413,0,0.968233124699595,0
1967,9,260.069244384766,4.63699104961607,-0.100387185811996,0,0,2.43842116965486,262.077396786881,1.29195465097767,260.069244384766,4.63699104961607,-0.100387185811996,0,0,2.45922590249525,262.355168811636,1.20142736502445,0.25610753248524,318.127410888672,3.61509037017822,0.948461472988129,0,0,2.5692360213951,315.986743402805,1.08748811452699,2.43842116965486,1.29195465097767,0,1.14646651867718,0,2.45922590249525,1.20142736502445,0,0.25610753248524,0,1.00169100498556,0
1967,12,261.766998291016,4.58522061944413,1.63366222381592,0,0,2.5378276096657,263.286050539292,1.31210502007155,261.766998291016,4.58522061944413,1.63366222381592,0,0,2.49486208454042,263.556566585248,1.20705855114257,0.252246079963824,318.878723144531,4.01541996002197,1.33501613140106,0,0,2.5482741735931,316.899014303218,1.07109154984535,2.5378276096657,1.31210502007155,0,1.22572258959415,0,2.49486208454042,1.20705855114257,0,0.252246079963824,0,1.03555745343403,0
1968,3,263.007507324219,4.5347064108099,3.39241456985474,0,0,2.64432199633136,264.495521502527,1.33410475754491,263.007507324219,4.5347064108099,3.39241456985474,0,0,2.53361841196648,264.749024192096,1.21306477883299,0.249900816023448,320.89794921875,4.53413534164429,1.88700866699219,0,0,2.53226260090895,318.019093133349,1.06113305063278,2.64432199633136,1.33410475754491,0,1.31021723878645,0,2.53361841196648,1.21306477883299,0,0.249900816023448,0,1.07065281711004,0
