Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign,lw_decomp_r,lw_decomp_g_pos,lw_decomp_g_neg,lw_decomp_z_pos,lw_decomp_z_neg,int_decomp_r,int_decomp_gh_pos,int_decomp_gh_neg,int_decomp_gf_pos,int_decomp_gf_neg,int_decomp_z_pos,int_decomp_z_neg
1979,3,196.88752746582,40.9565647915721,-10.0345735549927,0,1,-5.70953027585329,203.93098651088,-0.0688404926600764,196.88752746582,40.9565647915721,-10.0345735549927,0,1,-5.04798257259656,202.877187135355,-0.185432998661963,0.214653204764617,356.752899169922,5.42757225036621,3.45447134971619,0,0,1.97645492403658,352.688202777326,0.954702941405813,-5.70953027585329,-0,-0.0688404926600764,-0,-5.64068978319322,-5.04798257259656,-0,-0.185432998661963,0.214653204764617,0,-0,-5.07720277869922
1979,6,199.211196899414,41.4962237593126,-12.2856302261353,0,1,-7.73789708594175,203.889123339681,-0.0603229827328868,199.211196899414,41.4962237593126,-12.2856302261353,0,1,-6.56190691784259,202.801464164241,-0.170390297365804,0.215894729135759,356.860595703125,8.69945430755615,3.40047931671143,0,0,1.97646231471202,353.514124357429,0.960224810833551,-7.73789708594175,-0,-0.0603229827328868,-0,-7.67757410320887,-6.56190691784259,-0,-0.170390297365804,0.215894729135759,0,-0,-6.60741134961255
1979,9,201.276214599609,41.073997658633,-17.5636100769043,0,1,-9.78399851425236,203.867484856739,-0.0567202382221102,201.276214599609,41.073997658633,-17.5636100769043,0,1,-8.03083738284916,202.89563558734,-0.160090060633216,0.218155341108165,357.600280761719,7.31444835662842,4.1434383392334,0,0,1.98083518473869,354.480687018692,0.970279228151941,-9.78399851425236,-0,-0.0567202382221102,-0,-9.72727827603025,-8.03083738284916,-0,-0.160090060633216,0.218155341108165,0,-0,-8.08890266332411
1979,12,202.160018920898,42.8872975853961,-19.770751953125,0,1,-11.6351148062834,203.812329982818,-0.0606062395444435,202.160018920898,42.8872975853961,-19.770751953125,0,1,-9.34658355581943,202.656280393221,-0.160390044876944,0.218849310983427,357.849273681641,8.25732040405273,6.22476148605347,0,0,1.97805562438533,355.344625479505,0.973365765256692,-11.6351148062834,-0,-0.0606062395444435,-0,-11.574508566739,-9.34658355581943,-0,-0.160390044876944,0.218849310983427,0,-0,-9.40504282192591
1980,3,202.585662841797,40.3051965225472,-22.741455078125,0,1,-13.0055404939373,203.72507282132,-0.0624538799220908,202.585662841797,40.3051965225472,-22.741455078125,0,1,-10.3707570674446,202.180468217117,-0.148168639713687,0.220170114073987,358.164428710938,9.66786766052246,7.54290056228638,0,0,1.9783215091703,356.364197759194,0.979240238908077,-13.0055404939373,-0,-0.0624538799220908,-0,-12.9430866140152,-10.3707570674446,-0,-0.148168639713687,0.220170114073987,0,-0,-10.4427585418049
1980,6,204.865615844727,33.0159804070579,-27.4125804901123,0,1,-14.0728590719972,203.714407649127,-0.0560107571186227,204.865615844727,33.0159804070579,-27.4125804901123,0,1,-11.1800662317835,202.521577107481,-0.111300705634427,0.219583252310188,356.08203125,8.8497486114502,4.79822158813477,0,0,1.97253294168421,356.925770369348,0.976630081502267,-14.0728590719972,-0,-0.0560107571186227,-0,-14.0168483148786,-11.1800662317835,-0,-0.111300705634427,0.219583252310188,0,-0,-11.2883487784593
1980,9,206.151245117188,32.9605495193052,-26.5825672149658,0,1,-14.7861307566224,203.636282128896,-0.0584442975252892,206.151245117188,32.9605495193052,-26.5825672149658,0,1,-11.794733168882,202.305404256724,-0.0952586139344877,0.226035456884778,355.962371826172,8.80780124664307,1.32587110996246,0,0,2.00016448589617,357.864817178833,1.00532724767161,-14.7861307566224,-0,-0.0584442975252892,-0,-14.7276864590971,-11.794733168882,-0,-0.0952586139344877,0.226035456884778,0,-0,-11.9255100118323
1980,12,207.912231445312,26.4776930607676,-23.4786071777344,0,1,-14.89202228197,203.592542287021,-0.0516017452486161,207.912231445312,26.4776930607676,-23.4786071777344,0,1,-12.0872737984339,202.394760258631,-0.0631186449964964,0.231781530928105,357.81103515625,9.62799549102783,6.77771997451782,0,0,2.02283375018143,359.016179526548,1.03088379035969,-14.89202228197,-0,-0.0516017452486161,-0,-14.8404205367213,-12.0872737984339,-0,-0.0631186449964964,0.231781530928105,0,-0,-12.2559366843655
1981,3,208.402374267578,24.0644069358893,-18.0146064758301,0,1,-14.3552290329489,203.510763849806,-0.0420986187895307,208.402374267578,24.0644069358893,-18.0146064758301,0,1,-12.0529202175529,202.038677587542,-0.0301936640014565,0.232931913155987,359.750885009766,8.77752113342285,6.98759508132935,0,0,2.02248286645571,360.206681225471,1.03600029117274,-14.3552290329489,-0,-0.0420986187895307,-0,-14.3131304141594,-12.0529202175529,-0,-0.0301936640014565,0.232931913155987,0,-0,-12.2556584667075
1981,6,209.767440795898,27.4762158669534,-12.384051322937,0,1,-13.3674528669481,203.519965667142,-0.0194288230564942,209.767440795898,27.4762158669534,-12.384051322937,0,1,-11.7635490870304,202.479306718008,0.0289603382827266,0.229403007538511,359.006744384766,7.48833751678467,7.81903505325317,0,0,2.0016977488181,360.892071183827,1.02030494398869,-13.3674528669481,-0,-0.0194288230564942,-0,-13.3480240438916,-11.7635490870304,0.0289603382827266,0,0.229403007538511,0,-0,-12.0219124328517
