Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1962,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.254289273018801,292.100738525391,1.53810846805573,1.43980872631073,0,0,2.3354302892125,292.498640618275,1.12228920981334
1962,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.256026545891001,293.324737548828,1.31253671646118,1.49073684215546,0,0,2.3470325382189,293.610812695573,1.12995655093169
1962,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.257189521610538,293.652404785156,0.748095214366913,1.54605162143707,0,0,2.35739025625912,294.519463012625,1.13508926882347
1963,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.261253717990895,294.739593505859,1.32197558879852,1.68209636211395,0,0,2.38180520840741,295.620003800268,1.15302633588921
1963,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.265129643536866,295.855743408203,1.51128315925598,1.72524774074554,0,0,2.40550754355445,296.668712410306,1.17013248184119
1963,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.269781213162193,298.031433105469,1.5377414226532,2.13029646873474,0,0,2.4315818262846,297.991163356585,1.19066188261861
1963,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.271095719107527,298.682922363281,1.92390096187592,2.27353048324585,0,0,2.44280841880608,298.942854328289,1.19646336933163
1964,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.275334623294617,300.772003173828,1.69176089763641,2.17277717590332,0,0,2.46665868700829,300.285817408186,1.21517149796847
1964,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.276158939145942,301.854217529297,1.1847562789917,1.92562925815582,0,0,2.4744929177084,301.369858145355,1.21880956250197
1964,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278084485667449,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.48714646723722,302.633257345373,1.22730783715755
1964,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278374767852642,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.49339945725471,303.558036570195,1.22858897875026
1965,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.282497900619042,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.51596081511448,304.97658057182,1.24678615773238
1965,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.282330872502742,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.51788314676331,306.060382182416,1.24604898997681
1965,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.283494466794207,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.52424704231409,307.367387882312,1.25118443789566
1965,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.282093415566481,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.51617603908111,308.644092891699,1.2450009891933
1966,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.278531672848425,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.49542056947222,310.017864213826,1.22928146877015
