Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign
1983,12,307.606201171875,6.77218914031982,-22.5088424682617,0,1,-2.5570683953987,309.988682334166,0.678265155443728,307.606201171875,6.77218914031982,-22.5088424682617,0,1,-1.65850428735064,310.888552475828,0.609724650619679,0.242934756259846,365.251678466797,3.18787503242493,4.22915458679199,0,0,1.83021987046182,371.67048199762,1.11345566226968
1984,3,310.044036865234,14.1610975265503,-8.12625885009766,0,1,-2.69292482418679,310.367420319916,0.691829037394697,310.044036865234,14.1610975265503,-8.12625885009766,0,1,-1.69284861598712,311.275082016974,0.630459801618372,0.242184826179452,367.186950683594,4.0190544128418,4.66107797622681,0,0,1.82470063560506,372.741163622038,1.11001846823793
1984,6,312.057769775391,14.6511716842651,-1.80563116073608,0,1,-2.80016073143663,310.93582544826,0.71953600719972,312.057769775391,14.6511716842651,-1.80563116073608,0,1,-1.67061680566977,311.831950149867,0.677084220250689,0.240112800932638,368.900909423828,4.65562963485718,6.14986610412598,0,0,1.81170076747983,373.800211975048,1.10052164580317
1984,9,314.094757080078,12.9557504653931,0.445599317550659,0,1,-2.90300647705739,312.132376527087,0.755293882557999,314.094757080078,12.9557504653931,0.445599317550659,0,1,-1.6373193957927,312.810221914587,0.738303286653689,0.236849004773822,369.8603515625,3.73766088485718,7.00095081329346,0,0,1.79253668026427,374.753462726553,1.08556251698407
1984,12,315.326599121094,19.6843204498291,0.639338970184326,0,0,-3.02913248859976,313.257968294846,0.77950042477919,315.326599121094,19.6843204498291,0.639338970184326,0,0,-1.63794525157877,313.8299202932,0.78621571239913,0.234049326496509,370.677368164062,2.83661651611328,4.76729249954224,0,0,1.77513636636051,375.724752552643,1.07273060409355
1985,3,316.392272949219,21.3535041809082,-2.63618469238281,0,0,-3.1705154406314,314.624013856077,0.795609553663549,316.392272949219,21.3535041809082,-2.63618469238281,0,0,-1.67175219041639,315.063838462075,0.821741511753072,0.231130031710796,371.641448974609,5.41925525665283,4.58007144927979,0,0,1.75646623308481,376.734358071807,1.05935044656059
1985,6,315.983520507812,4.00878381729126,-5.62185335159302,0,0,-3.31826192942763,315.11651361184,0.797151773367799,315.983520507812,4.00878381729126,-5.62185335159302,0,0,-1.73180827106955,315.825790742061,0.8330748488764,0.22726044820278,372.518463134766,3.45384526252747,3.96353983879089,0,0,1.73289472058931,377.651270512322,1.04161478068075
1985,9,315.838409423828,9.75632095336914,-6.40431213378906,0,0,-3.43041596625851,315.718897002516,0.813373765073542,315.838409423828,9.75632095336914,-6.40431213378906,0,0,-1.7595286958729,316.662774036842,0.858047693750974,0.223745026667849,374.033782958984,4.08710145950317,3.75438690185547,0,0,1.7099936805631,378.684778053112,1.02550236402371
1985,12,316.040161132812,8.89791488647461,-4.46436834335327,0,0,-3.51322459969377,316.345619166741,0.841131246216232,316.040161132812,8.89791488647461,-4.46436834335327,0,0,-1.76156161262411,317.466524158871,0.893046009939425,0.218344523560137,374.774871826172,2.85863947868347,4.18073034286499,0,0,1.67791056631647,379.517619658377,1.00074995371831
1986,3,316.83544921875,8.7749605178833,-3.47685503959656,0,0,-3.5739996373222,317.230432923491,0.88029572025548,316.83544921875,8.7749605178833,-3.47685503959656,0,0,-1.73655943956222,318.428754300462,0.94302962283643,0.21429753740097,375.703826904297,4.29562568664551,3.80064392089844,0,0,1.652134798944,380.419170037318,0.982201188924725
