Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home
1961,12,163.538314819336,0.250114053487778,7.55149745941162,0,0,4.50468923270583,163.330159284565,1.62987530401606
1962,3,163.656890869141,3.34799647331238,7.57271814346313,0,0,4.54415857694915,164.523802992185,1.62092188482735
1962,6,163.62890625,2.48812556266785,7.74871110916138,0,0,4.61569194923676,165.635418623661,1.63770814216048
1962,9,165.198745727539,2.1320858001709,7.84221315383911,0,0,4.70509067431552,167.346904281513,1.67718505214403
1962,12,166.499206542969,0.660556793212891,7.0304274559021,0,0,4.71015584314247,168.790070404158,1.64256762060421
1963,3,167.175796508789,-0.427790224552155,6.21736240386963,0,0,4.69960448917021,169.849409863618,1.59049802135502
1963,6,168.487838745117,5.64301490783691,6.58875465393066,0,0,4.7379938987559,171.115377052497,1.5811139783796
1963,9,170.16845703125,1.63006591796875,7.1025710105896,0,0,4.77968417534452,172.394810715176,1.57355969664271
1963,12,172.401275634766,4.35459470748901,6.54340076446533,0,0,4.7987458477366,174.000830691823,1.5507139711933
1964,3,173.797637939453,7.74744272232056,6.75517129898071,0,0,4.73634678148962,175.149424618665,1.45580873435249
1964,6,176.106475830078,7.84024238586426,5.32876539230347,0,0,4.63104195902281,176.659260888423,1.3353268790115
1964,9,178.107727050781,9.47470378875732,3.75303363800049,0,0,4.38161846394273,177.842275127252,1.09970184720224
1964,12,179.57878112793,9.15890216827393,2.91528224945068,0,0,4.02029585845086,178.615149248376,0.77703100377862
1965,3,179.352294921875,2.21386241912842,0.850272536277771,0,0,3.61192710253827,178.431123781168,0.416319686303687
1965,6,178.589340209961,-0.64365154504776,-0.0244423281401396,0,0,3.30302811405215,177.855987020814,0.147620977282397
1965,9,177.87825012207,7.12197685241699,1.60019612312317,0,0,3.14319756550399,177.194453440542,0.0119868164344925
1965,12,177.003967285156,4.90976905822754,3.35299348831177,0,0,3.14154921292224,176.4854456387,0.0137199613903645
1966,3,177.265838623047,5.79803371429443,4.20277309417725,0,0,3.2782691040214,176.718407348869,0.143538588545158
1966,6,175.945938110352,9.09813022613525,5.22803497314453,0,0,3.42813944241056,176.447399317527,0.274395309212313
1966,9,175.826507568359,6.20900917053223,3.75022029876709,0,0,3.68950858636885,176.908377699822,0.503097097023664
1966,12,176.852279663086,6.19786214828491,1.80791187286377,0,0,3.93567518710746,177.763723266798,0.718910606375069
1967,3,178.77946472168,10.4760293960571,2.09102892875671,0,0,4.12483399409294,178.860299353637,0.882868515659058
