Year,Month,yobs,piobs,rrobs,idx_y,idx_pi,rstar_lw,ybar_lw,gg_home,yobs_int,piobs_int,rrobs_int,idx_y_int,idx_pi_int,rstar_lw_int,ybar_lw_int,gg_home_int,gg_home_f,yobs_us,piobs_us,rrobs_us,idx_y_us,idx_pi_us,rstar_lw_us,ybar_lw_us,gg_foreign,lw_decomp_r,lw_decomp_g_pos,lw_decomp_g_neg,lw_decomp_z_pos,lw_decomp_z_neg,int_decomp_r,int_decomp_gh_pos,int_decomp_gh_neg,int_decomp_gf_pos,int_decomp_gf_neg,int_decomp_z_pos,int_decomp_z_neg
1964,9,282.745422363281,8.26637286456053,2.47743201255798,0,0,0.646468722968532,286.377739740786,0.928769903161881,282.745422363281,8.26637286456053,2.47743201255798,0,0,1.88307035818109,283.742037547594,1.22227642122668,0.292249762168447,303.404144287109,1.11003255844116,1.82935857772827,0,0,2.52088549130109,302.730235386356,1.23918955407402,0.646468722968532,0.928769903161881,0,-0,-0.282301180193349,1.88307035818109,1.22227642122668,0,0.292249762168447,0,0.368544174785966,0
1964,12,283.859252929688,4.68596046392398,1.38001990318298,0,0,0.647226885550028,287.291817881951,0.933457794948029,283.859252929688,4.68596046392398,1.38001990318298,0,0,1.90845388395023,284.906832688279,1.23973560460466,0.292463250696067,303.712188720703,1.0200537443161,2.00505185127258,0,0,2.52817617485683,303.69607430722,1.24009478236704,0.647226885550028,0.933457794948029,0,-0,-0.286230909398001,1.90845388395023,1.23973560460466,0,0.292463250696067,0,0.376255028649496,0
1965,3,284.457763671875,16.0041046295433,1.34736347198486,0,0,0.65707941673177,288.208248347923,0.946311239292728,284.457763671875,16.0041046295433,1.34736347198486,0,0,1.96762390494347,286.093250228858,1.28676816935871,0.297126557173959,306.104125976562,1.50558924674988,2.55473899841309,0,0,2.55367783447307,305.088819394761,1.25986800863751,0.65707941673177,0.946311239292728,0,-0,-0.289231822560957,1.96762390494347,1.28676816935871,0,0.297126557173959,0,0.383729178410805,0
1965,6,287.014404296875,15.3370069892258,1.54311776161194,0,0,0.67547527649535,289.384227004212,0.968227701166025,287.014404296875,15.3370069892258,1.54311776161194,0,0,2.06878849901686,287.64382229448,1.38062318253218,0.296883235706708,307.359344482422,1.24120128154755,2.85770630836487,0,0,2.55642891622042,306.193260558177,1.25883628351903,0.67547527649535,0.968227701166025,0,-0,-0.292752424670675,2.06878849901686,1.38062318253218,0,0.296883235706708,0,0.391282080777979,0
1965,9,288.46240234375,3.50339788788308,-1.39224314689636,0,0,0.66282378977113,290.370265270473,0.959788203620866,288.46240234375,3.50339788788308,-1.39224314689636,0,0,2.03146573037493,288.942033100152,1.33427831438503,0.298241352619248,309.558135986328,1.23736178874969,2.87848520278931,0,0,2.56437386214345,307.489179066942,1.26459493419763,0.66282378977113,0.959788203620866,0,-0,-0.296964413849736,2.03146573037493,1.33427831438503,0,0.298241352619248,0,0.398946063370645,0
1965,12,289.328887939453,5.27340093157053,-2.7846040725708,0,0,0.6514247099231,291.307735773881,0.951916669713745,289.328887939453,5.27340093157053,-2.7846040725708,0,0,1.99249369823404,290.149945334574,1.289322585402,0.296737658652849,311.83740234375,1.32704043388367,2.96354126930237,0,0,2.55657729574125,308.755910422767,1.25821901162421,0.6514247099231,0.951916669713745,0,-0,-0.300491959790644,1.99249369823404,1.289322585402,0,0.296737658652849,0,0.406433454179183,0
1966,3,290.866760253906,4.78888041264055,-2.35988593101501,0,0,0.647216755173463,292.279522684061,0.95102856242018,290.866760253906,4.78888041264055,-2.35988593101501,0,0,1.98466608821207,291.398250233847,1.2779047017062,0.292885268013058,314.241424560547,1.99792158603668,3.32450222969055,0,0,2.53515345015598,310.105626534374,1.2418842088048,0.647216755173463,0.95102856242018,0,-0,-0.303811807246717,1.98466608821207,1.2779047017062,0,0.292885268013058,0,0.41387611849281,0
1966,6,293.058135986328,4.54271900988316,-1.96014094352722,0,0,0.643037002116387,293.274306915487,0.950773325423847,293.058135986328,4.54271900988316,-1.96014094352722,0,0,1.97139756434486,292.658983619603,1.26504232370272,0.284893895965517,314.581085205078,3.24367237091064,3.62130498886108,0,0,2.49553447060537,311.09715291233,1.20799940872642,0.643037002116387,0.950773325423847,0,-0,-0.307736323307459,1.97139756434486,1.26504232370272,0,0.284893895965517,0,0.421461344676624,0
1966,9,295.318023681641,8.26438093018434,1.24697089195251,0,0,0.63480330459651,294.277972483351,0.947206833238228,295.318023681641,8.26438093018434,1.24697089195251,0,0,1.94313921366683,293.896346846768,1.23363497958384,0.280299336844411,315.426300048828,3.28626489639282,3.94509887695312,0,0,2.47111761101678,312.238439306313,1.18851768314278,0.63480330459651,0.947206833238228,0,-0,-0.312403528641718,1.94313921366683,1.23363497958384,0,0.280299336844411,0,0.429204897238575,0
1966,12,297.246032714844,3.27937426572959,3.06216382980347,0,0,0.620732227884436,295.262306522434,0.938362259518048,297.246032714844,3.27937426572959,3.06216382980347,0,0,1.89071874366285,295.068583028077,1.17857619259761,0.275103087635309,316.241638183594,3.4410719871521,3.60142540931702,0,0,2.44337285372484,313.344440345305,1.16648468748691,0.620732227884436,0.938362259518048,0,-0,-0.317630031633611,1.89071874366285,1.17857619259761,0,0.275103087635309,0,0.437039463429929,0
