Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY
712588,1950,12,NaN,NaN,NaN,20.71,NaN,NaN,NaN,NaN
712678,1951,3,NaN,NaN,NaN,20.7985324242694,NaN,NaN,NaN,NaN
712769,1951,6,NaN,NaN,NaN,20.9336930035248,NaN,NaN,NaN,NaN
712861,1951,9,NaN,NaN,NaN,21.0726161131403,NaN,NaN,NaN,NaN
712953,1951,12,NaN,NaN,NaN,21.2127855919585,NaN,NaN,NaN,NaN
713044,1952,3,NaN,NaN,NaN,21.3542835919419,NaN,NaN,NaN,NaN
713135,1952,6,NaN,NaN,NaN,21.4972639655108,NaN,NaN,NaN,NaN
713227,1952,9,NaN,NaN,NaN,21.6435263243857,NaN,NaN,NaN,NaN
713319,1952,12,NaN,NaN,NaN,21.7905963679838,NaN,NaN,NaN,NaN
713409,1953,3,NaN,NaN,NaN,21.9371975468703,NaN,NaN,NaN,NaN
713500,1953,6,NaN,NaN,NaN,22.0851733546414,NaN,NaN,NaN,NaN
713592,1953,9,NaN,NaN,NaN,22.2366723755216,NaN,NaN,NaN,NaN
713684,1953,12,NaN,NaN,NaN,22.3888664186766,NaN,NaN,NaN,NaN
713774,1954,3,NaN,NaN,NaN,22.5404549557366,NaN,NaN,NaN,NaN
713865,1954,6,NaN,NaN,NaN,22.6930671032607,NaN,NaN,NaN,NaN
713957,1954,9,NaN,NaN,NaN,22.8493402004355,NaN,NaN,NaN,NaN
714049,1954,12,NaN,NaN,NaN,23.0068943519072,NaN,NaN,NaN,NaN
714139,1955,3,NaN,NaN,NaN,23.164846475204,NaN,NaN,NaN,NaN
714230,1955,6,NaN,NaN,NaN,23.3248173156345,NaN,NaN,NaN,NaN
714322,1955,9,NaN,NaN,NaN,23.4890241209679,NaN,NaN,NaN,NaN
714414,1955,12,NaN,NaN,NaN,23.6543769541539,NaN,NaN,NaN,NaN
714505,1956,3,NaN,NaN,NaN,23.8207551465055,NaN,NaN,NaN,NaN
714596,1956,6,NaN,NaN,NaN,23.988234545521,NaN,NaN,NaN,NaN
714688,1956,9,NaN,NaN,NaN,24.1594010699107,NaN,NaN,NaN,NaN
714780,1956,12,NaN,NaN,NaN,24.3319092338111,NaN,NaN,NaN,NaN
714870,1957,3,NaN,8.16349713400772,NaN,24.5047052554949,NaN,NaN,NaN,NaN
714961,1957,6,NaN,8.20273823194525,NaN,24.6798414089952,1.92275919466186,NaN,NaN,NaN
715053,1957,9,NaN,8.23782815046538,NaN,24.8594053893071,1.7111319429153,NaN,NaN,NaN
715145,1957,12,NaN,8.18306804173672,77821.4063976069,25.03957006826,-2.65895853753955,NaN,NaN,NaN
715235,1958,3,NaN,8.21593861295266,78485.0294339523,25.2184204362433,1.60676025413886,0.642389873899504,3.41100510548358,NaN
715326,1958,6,NaN,8.26560983395677,79011.5143113981,25.3979999184782,2.41828588766691,0.766470905613815,2.68323720456192,NaN
715418,1958,9,NaN,8.28460435235141,79635.0371786644,25.5817825746085,0.919207113629113,0.56782201609029,3.15661772945629,NaN
715510,1958,12,NaN,8.32394405352852,80549.5903758915,25.7673520059326,1.89941242835323,1.72155493603714,4.59372271114876,3.50569863045862
