Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
724184,1982,9,12.4806758134095,0.0518325431407581,13006.1588851743,76.7648627651733,13.2603619008553,-2.82875855806105,0.359628481933342,-2.32572835295048,-5.66279518729776,-0.779686087445775,12.1210473314762
724276,1982,12,12.0214233768776,0.0523851628887275,12889.558758956,77.26326438364,12.6517322455225,4.2646547090601,0,-3.58599728783162,-3.62610158629806,-0.63030886864486,12.0214233768776
724366,1983,3,11.8269228722889,0.056097405303549,12703.3953194665,77.7553545926027,12.3013916845344,28.3457544855337,5.24573205514154,-5.77718579730731,-3.56755474098216,-0.47446881224543,6.58119081714739
724457,1983,6,11.8217431917395,0.0604140024420025,12407.983096738,78.2453521546965,10.0827726625076,30.7792997918243,15.7318496084867,-9.30183514877473,-5.15386433136665,1.73897052923193,-3.91010641674725
724549,1983,9,11.8082219943151,0.0602295365276357,12106.4244108132,78.7429049483748,16.191450378002,-1.22134542927455,16.2002342120749,-9.7214409005453,-6.91775705882466,-4.38322838368687,-4.39201221775986
724641,1983,12,11.9296971543523,0.0741120967300484,11833.8197002531,79.2420205386452,8.41594729388761,92.1976890593729,41.4753579891915,-9.00694379478898,-8.19065321355029,3.51374986046473,-29.5456608348391
724732,1984,3,12.3407334606248,0.0785617888788013,11631.3086627215,79.7441996105683,13.1132511812963,24.0160100446807,40.0453166304132,-6.84516217624213,-8.4393709696032,-0.772517720671521,-27.7045831697885
724823,1984,6,12.7315346816372,0.0886431938482832,11496.2861349722,80.2478192550993,12.3844572746097,51.3298137089758,46.7262393902487,-4.64341654631056,-7.34766444036742,0.347077407027522,-33.9947047086116
724915,1984,9,12.8821100067162,0.0974822386564089,11435.8723948417,80.7607426139283,12.948733101715,39.8859491604243,61.8512183165817,-2.1020263212389,-5.53881140473355,-0.0666230949987998,-48.9691083098656
725007,1984,12,13.1358096885249,0.0949302228803441,11464.1369781105,81.2764808503728,14.6972774497198,-10.4717159196959,28.090051514971,0.988628844146604,-3.12395094319989,-1.56146776119498,-14.9542418264462
