Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population,Inflation Exp,CPI QoQ Ann,CPI YoY,GDP QoQ Ann,GDP YoY,rr ante,rr post
729206,1996,6,159.999999809627,22.0461121717011,15707.6911738373,148.154252725788,35.8732072231844,2.1024913263725,2.71370454232796,-1.92746801908606,-3.44329186734805,124.126792586443,157.286295267299
729298,1996,9,113.333333148973,22.1307660828445,15449.8035088974,148.099297173042,51.4441955150258,1.53594267295955,2.01653525104781,-6.56716921884771,-5.43718401029071,61.8891376339474,111.316797897925
729390,1996,12,73.3333331540673,22.1522323676411,15489.9800699184,148.040270029752,30.2733041713331,0.387989909002613,1.44669708216492,1.04018309353569,-3.0731374982926,43.0600289827342,71.8866360719024
729480,1997,3,51.9999998666726,22.1832880983383,15702.6358643419,147.978261362976,15.3885287148389,0.560769319891904,1.1511161319679,5.49144139536929,-0.513895579635616,36.6114711518337,50.8488837347047
729571,1997,6,39.9999998888289,22.272181582462,15564.8931714733,147.910261367576,11.8758798808195,1.60289103634466,1.02543890278814,-3.50877888422241,-0.909096065002316,28.1241200080094,38.9745609860407
729663,1997,9,35.9999998909677,22.3593578120049,15881.7756934024,147.835732658518,11.6422099123786,1.56565227739662,1.03291376495838,8.14351935315187,2.79597202809879,24.3577899785891,34.9670861260093
729755,1997,12,21.9999999880614,22.3357401555051,16066.1991629963,147.757022523706,12.0220696358894,-0.422510462033301,0.828394108632182,4.64490805446962,3.71994728512863,9.97793035217197,21.1716058794292
729845,1998,3,29.9999999523301,22.328023143441,15491.5270498138,147.674824183825,12.3449640274473,-0.138200247861732,0.65245082000942,-14.3076058587923,-1.3444164174214,17.6550359248828,29.3475491323207
729936,1998,6,86.6666661609325,22.391578090444,15362.517361206,147.586657759976,12.1061184569783,1.13856827529719,0.536079088346014,-3.3311032073961,-1.30020686963775,74.5605477039542,86.1305870725865
730028,1998,9,59.9999997759376,22.7250892456851,14463.6023746884,147.491946253537,11.6859759944588,5.95779634457119,1.63569739683579,-23.4054085116967,-8.92956396118319,48.3140237814789,58.3643023791018
730120,1998,12,59.9999998009471,23.4824453374276,14650.8875839413,147.393526837042,8.34206103485228,13.3307479421451,5.13394753851391,5.17948998876483,-8.80924955987561,51.6579387660948,54.8660522624332
730210,1999,3,59.9999997849469,24.0385595201209,15240.5450295417,147.29267974432,7.50707216621013,9.47284960662887,7.66093964383229,16.0988866298237,-1.62012446845955,52.4929276187367,52.3390601411146
730301,1999,6,58.3333330710024,24.3639699044058,15797.7829029501,147.18721905304,9.2882673857899,5.4148067235472,8.80863245098146,14.6251429283743,2.83329568657322,49.0450656852125,49.5247006200209
730393,1999,9,54.9999997464944,24.6512816307467,16065.3666884925,147.075482995834,10.1515989977095,4.71699361751303,8.47606081647083,6.77522376870712,11.074449312899,44.848400748785,46.5239389300236
730485,1999,12,54.9999997289301,24.7926292305245,16442.9052847172,146.959594310037,10.8157322331552,2.29355376965879,5.57941847312063,9.40006172395948,12.2314616811345,44.1842674957749,49.4205812558095
730576,2000,3,40.9999998411344,24.9010344818683,17043.5505122553,146.839058124625,11.3637933395176,1.74899161094891,3.58788121653264,14.611656933801,11.8303215483355,29.6362065016167,37.4121186246017
730667,2000,6,32.9999998751031,25.0853208065064,17375.4521813459,146.712871592733,11.4085404076906,2.96029989874143,2.96072809534303,7.78949594691267,9.98664995010871,21.5914594674124,30.03927177976
730759,2000,9,27.999999895951,25.3683780929644,17692.9345584236,146.580505291997,10.8325201442216,4.51351272150413,2.90896219092842,7.30875660130721,10.1309101839361,17.1674797517294,25.0910377050226
