Matlab Date,Year,Month,ii Rate,CPI Level,Real GDP Level,Population
718797,1967,12,NaN,NaN,1130956.80283746,1.69584859664068
718888,1968,3,NaN,NaN,1157136.77497724,1.70829350842523
718979,1968,6,NaN,NaN,1182019.26720973,1.72072216967847
719071,1968,9,NaN,NaN,1208269.82098324,1.73328306212424
719163,1968,12,NaN,NaN,1226784.49375104,1.74580698379198
719253,1969,3,NaN,NaN,1245735.30864534,1.75821177845451
719344,1969,6,NaN,NaN,1267015.02332486,1.77062978091796
719436,1969,9,NaN,NaN,1280671.11303266,1.78323690536935
719528,1969,12,NaN,NaN,1294158.2710133,1.7957984061942
719618,1970,3,NaN,NaN,1314346.90152478,1.80821917808219
719709,1970,6,NaN,NaN,1343695.81743164,1.82063926940639
719801,1970,9,NaN,NaN,1361652.16590972,1.83324200913242
719893,1970,12,NaN,NaN,1391259.83539108,1.84579908675799
719983,1971,3,NaN,NaN,1412734.84423342,1.85835841277506
720074,1971,6,NaN,NaN,1433175.23180596,1.87119546832283
720166,1971,9,NaN,NaN,1450177.74503859,1.88404871690927
720258,1971,12,NaN,NaN,1485569.89923378,1.89614954162737
720349,1972,3,NaN,NaN,1519971.3762565,1.90700594983857
720440,1972,6,NaN,NaN,1540899.92455135,1.91675183861898
720532,1972,9,NaN,NaN,1570600.21120413,1.92631888499588
720624,1972,12,NaN,NaN,1607060.14083418,1.93641293385644
720714,1973,3,NaN,NaN,1645102.70900107,1.94761082589686
720805,1973,6,NaN,NaN,1677196.47849151,1.95985918385025
720897,1973,9,NaN,NaN,1705591.06693214,1.97282240891037
720989,1973,12,NaN,NaN,1730947.73061799,1.98574313496033
721079,1974,3,NaN,NaN,1772543.40625984,1.99821917808219
721170,1974,6,NaN,NaN,1793273.0031967,2.01063926940639
721262,1974,9,NaN,NaN,1810556.06598875,2.02324200913242
721354,1974,12,NaN,NaN,1826927.91671932,2.03579908675799
721444,1975,3,NaN,NaN,1837539.29908988,2.04810831726482
721535,1975,6,NaN,NaN,1855243.95533001,2.06019641522095
721627,1975,9,NaN,NaN,1861602.82566592,2.07259969591524
721719,1975,12,NaN,NaN,1865294.05198553,2.08552004916707
721810,1976,3,NaN,0.465530025263581,1889546.12852976,2.09935931529617
721901,1976,6,NaN,0.470350023012065,1916595.11318716,2.11411019627495
721993,1976,9,NaN,0.475953358151297,1917798.77891128,2.12953386340408
722085,1976,12,NaN,0.473860027484631,1968216.91518567,2.1449143250813
722175,1977,3,NaN,0.480100025510083,2017147.97732142,2.15998924990456
722266,1977,6,NaN,0.491576690958777,2074143.65328401,2.17529548216995
722358,1977,9,NaN,0.495860026286379,2109796.39500005,2.19066712965152
722450,1977,12,NaN,0.496876695505049,2143471.61823236,2.20529817491227
722540,1978,3,NaN,0.504863359512795,2195648.89839711,2.21850471414832
722631,1978,6,NaN,0.517790025366167,2236022.70033035,2.23044549933849
722723,1978,9,NaN,0.525866695105448,2227834.19400066,2.24238532144852
722815,1978,12,NaN,0.534050031554798,2277821.06285508,2.25532475582654
722905,1979,3,NaN,0.544236693376536,2315483.78106384,2.27037982872712
722996,1979,6,NaN,0.556070027371778,2322088.42554297,2.28781783598068
723088,1979,9,NaN,0.572180032049524,2347103.13284857,2.3064540212527
723180,1979,12,NaN,0.601333368483141,2390349.01888739,2.32434410543194
723271,1980,3,NaN,0.633693363163093,2412015.02682424,2.34033763995941
723362,1980,6,NaN,0.660463365197092,2386116.97185442,2.35504740839163
723454,1980,9,NaN,0.682846704890737,2397374.54077503,2.36962027047613
723546,1980,12,NaN,0.708980040904617,2408323.00570507,2.38472677164169
723636,1981,3,NaN,0.773546700725004,2413302.16181549,2.40104739347296
723727,1981,6,NaN,0.84834337341006,2403554.57654383,2.41866760887054
723819,1981,9,NaN,0.948353385403252,2358277.15161509,2.43690271902706
723911,1981,12,NaN,1.11109006069534,2353876.41382206,2.45439992380453
724001,1982,3,10.8608839416379,1.36523672214002,2298353.42455083,2.47024821656004
724092,1982,6,10.8608839416379,1.58012007013675,2254759.91254775,2.48495096161311
724184,1982,9,10.8608839416379,1.93201343074801,2204075.85479804,2.49957254829085
724276,1982,12,11.2195156234574,2.12164010614045,2182381.68988287,2.51471708105301
724366,1983,3,11.9367789870965,2.24128008273067,2173038.94759398,2.53092643346405
724457,1983,6,11.1949506885943,2.34337676674371,2179160.09982556,2.54815714523642
724549,1983,9,10.6334898448403,2.32901011200859,2199572.11908462,2.56615058303488
724641,1983,12,10.6334898448403,2.36877678040242,2244824.32619386,2.58407108878638
724732,1984,3,8.89577098849864,2.45414009200708,2300351.72726242,2.60149344628344
724823,1984,6,8.89577098849864,2.54569677574788,2347064.63115621,2.61854679747264
724915,1984,9,8.89577098849864,2.62950012304778,2395389.08127004,2.6359261868581
725007,1984,12,9.2215437352234,2.76213679202875,2424999.16310411,2.65383924076057
